ID Geography,Geography,state_code,Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),Population (2019)
"05000US01003","Baldwin County",AL,195540,200111,203709,208563,212628,218022,223234
"05000US01015","Calhoun County",AL,116736,115916,115620,114611,114728,114277,113605
"05000US01043","Cullman County",AL,80811,81289,82005,82471,82755,83442,83768
"05000US01049","DeKalb County",AL,71013,71065,71130,70900,71617,71385,71513
"05000US01051","Elmore County",AL,80902,80977,81468,81799,81677,81887,81209
"05000US01055","Etowah County",AL,103931,103531,103057,102564,102755,102501,102268
"05000US01069","Houston County",AL,103668,104193,104173,104056,104346,104722,105882
"05000US01073","Jefferson County",AL,659479,660793,660367,659521,659197,659300,658573
"05000US01077","Lauderdale County",AL,92797,93096,92596,92318,92538,92387,92729
"05000US01081","Lee County",AL,150933,154255,156993,158991,161604,163941,164542
"05000US01083","Limestone County",AL,88845,90787,91663,92753,94402,96174,98915
"05000US01089","Madison County",AL,346892,350299,353089,356967,361046,366519,372909
"05000US01095","Marshall County",AL,94760,94636,94725,95157,95548,96109,96774
"05000US01097","Mobile County",AL,414079,415123,415395,414836,413955,413757,413210
"05000US01101","Montgomery County",AL,226659,226189,226519,226349,226646,225763,226486
"05000US01103","Morgan County",AL,119787,119607,119565,119012,118818,119089,119679
"05000US01115","St. Clair County",AL,86308,86697,87074,88019,88199,88690,89512
"05000US01117","Shelby County",AL,204180,206655,208713,210622,213605,215707,217702
"05000US01121","Talladega County",AL,81096,81322,80862,80103,80065,79828,79978
"05000US01125","Tuscaloosa County",AL,200821,202212,203976,206102,207811,208911,209355
"05000US01127","Walker County",AL,65998,65471,65294,64967,64058,63711,63521
"05000US02020","Anchorage Municipality",AK,300950,301010,298695,298192,294356,291538,288000
"05000US02090","Fairbanks North Star Borough",AK,100436,99357,99631,100605,99703,98971,96849
"05000US02170","Matanuska-Susitna Borough",AK,95192,97882,101095,104365,106532,107610,108317
"05000US04001","Apache County",AZ,71934,71828,71474,73112,71606,71818,71887
"05000US04003","Cochise County",AZ,129473,127448,126427,125770,124756,126770,125922
"05000US04005","Coconino County",AZ,136539,137682,139097,140908,140776,142854,143476
"05000US04013","Maricopa County",AZ,4009412,4087191,4167947,4242997,4307033,4410824,4485414
"05000US04015","Mohave County",AZ,203030,203361,204737,205249,207200,209550,212181
"05000US04017","Navajo County",AZ,107322,108101,108277,110026,108956,110445,110924
"05000US04019","Pima County",AZ,996554,1004516,1010025,1016206,1022769,1039073,1047279
"05000US04021","Pinal County",AZ,389350,401918,406584,418540,430237,447138,462789
"05000US04025","Yavapai County",AZ,215133,218844,222255,225562,228168,231993,235099
"05000US04027","Yuma County",AZ,201201,203247,204275,205631,207534,212128,213787
"05000US05007","Benton County",AR,237297,242321,249672,258291,266300,272608,279141
"05000US05031","Craighead County",AR,101488,102518,104354,105835,107115,108558,110332
"05000US05045","Faulkner County",AR,119580,120768,121552,122227,123654,124806,126007
"05000US05051","Garland County",AR,97173,97322,97177,97477,98658,99154,99386
"05000US05069","Jefferson County",AR,73191,72297,71565,70016,69115,68114,66824
"05000US05085","Lonoke County",AR,70753,71557,71645,72228,72898,73657,73309
"05000US05119","Pulaski County",AR,391284,392702,392664,393250,393956,392680,391911
"05000US05125","Saline County",AR,114404,115719,117460,118703,119323,121421,122437
"05000US05131","Sebastian County",AR,127342,126776,127780,127793,128107,127753,127827
"05000US05143","Washington County",AR,216410,220792,225477,228049,231996,236961,239187
"05000US05145","White County",AR,78483,78592,79161,79263,79016,78727,78753
"05000US06001","Alameda County",CA,1578891,1610921,1638215,1647704,1663190,1666753,1671329
"05000US06007","Butte County",CA,222090,224241,225411,226864,229294,231256,219186
"05000US06013","Contra Costa County",CA,1094205,1111339,1126745,1135127,1147439,1150215,1153526
"05000US06017","El Dorado County",CA,181737,183087,184452,185625,188987,190678,192843
"05000US06019","Fresno County",CA,955272,965974,974861,979915,989255,994400,999101
"05000US06023","Humboldt County",CA,134493,134809,135727,136646,136754,136373,135558
"05000US06025","Imperial County",CA,176584,179091,180191,180883,182830,181827,181215
"05000US06029","Kern County",CA,864124,874589,882176,884788,893119,896764,900202
"05000US06031","Kings County",CA,150960,150269,150965,149785,150101,151366,152940
"05000US06033","Lake County",CA,63860,64184,64591,64116,64246,64382,64386
"05000US06037","Los Angeles County",CA,10017068,10116705,10170292,10137915,10163507,10105518,10039107
"05000US06039","Madera County",CA,152389,154548,154998,154697,156890,157672,157327
"05000US06041","Marin County",CA,258365,260750,261221,260651,260955,259666,258826
"05000US06045","Mendocino County",CA,87192,87869,87649,87628,88018,87606,86749
"05000US06047","Merced County",CA,263228,266353,268455,268672,272673,274765,277680
"05000US06053","Monterey County",CA,428826,431344,433898,435232,437907,435594,434061
"05000US06055","Napa County",CA,140326,141667,142456,142166,140973,139417,137744
"05000US06057","Nevada County",CA,98200,98893,98877,99107,99814,99696,99755
"05000US06059","Orange County",CA,3114363,3145515,3169776,3172532,3190400,3185968,3175692
"05000US06061","Placer County",CA,367309,371694,375391,380531,386166,393149,398329
"05000US06065","Riverside County",CA,2292507,2329271,2361026,2387741,2423266,2450758,2470546
"05000US06067","Sacramento County",CA,1462131,1482026,1501335,1514460,1530615,1540975,1552058
"05000US06071","San Bernardino County",CA,2088371,2112619,2128133,2140096,2157404,2171603,2180085
"05000US06073","San Diego County",CA,3211252,3263431,3299521,3317749,3337685,3343364,3338330
"05000US06075","San Francisco County",CA,837442,852469,864816,870887,884363,883305,881549
"05000US06077","San Joaquin County",CA,704379,715597,726106,733709,745424,752660,762148
"05000US06079","San Luis Obispo County",CA,276443,279083,281401,282887,283405,284010,283111
"05000US06081","San Mateo County",CA,747373,758581,765135,764797,771410,769545,766573
"05000US06083","Santa Barbara County",CA,435697,440668,444769,446170,448150,446527,446499
"05000US06085","Santa Clara County",CA,1862041,1894605,1918044,1919402,1938153,1937570,1927852
"05000US06087","Santa Cruz County",CA,269419,271804,274146,274673,275897,274255,273213
"05000US06089","Shasta County",CA,178980,179804,179533,179631,179921,180040,180080
"05000US06095","Solano County",CA,424788,431131,436092,440207,445458,446610,447643
"05000US06097","Sonoma County",CA,495025,500292,502146,503070,504217,499942,494336
"05000US06099","Stanislaus County",CA,525491,531997,538388,541560,547899,549815,550660
"05000US06101","Sutter County",CA,95350,95847,96463,96651,96648,96807,96971
"05000US06103","Tehama County",CA,,,,,,,65084
"05000US06107","Tulare County",CA,454143,458198,459863,460437,464493,465861,466195
"05000US06111","Ventura County",CA,839620,846178,850536,849738,854223,850967,846006
"05000US06113","Yolo County",CA,204593,207590,213016,215802,219116,220408,220500
"05000US06115","Yuba County",CA,73340,73966,74492,75275,77031,78041,78668
"05000US08001","Adams County",CO,469193,480718,491337,498187,503167,511868,517421
"05000US08005","Arapahoe County",CO,607070,618821,631096,637068,643052,651215,656590
"05000US08013","Boulder County",CO,310048,313333,319372,322226,322514,326078,326196
"05000US08014","Broomfield County",CO,,,65065,66529,68341,69267,70465
"05000US08031","Denver County",CO,649495,663862,682545,693060,704621,716492,727211
"05000US08035","Douglas County",CO,305963,314638,322387,328632,335299,342776,351154
"05000US08041","El Paso County",CO,655044,663519,674471,688284,699232,713856,720403
"05000US08059","Jefferson County",CO,551798,558503,565524,571837,574613,580233,582881
"05000US08069","Larimer County",CO,315988,324122,333577,339993,343976,350518,356899
"05000US08077","Mesa County",CO,147554,148255,148513,150083,151616,153207,154210
"05000US08101","Pueblo County",CO,161451,161875,163591,165123,166475,167529,168424
"05000US08123","Weld County",CO,269785,277670,285174,294932,304633,314305,324492
"05000US09001","Fairfield County",CT,939904,945438,948053,944177,949921,943823,943332
"05000US09003","Hartford County",CT,898272,897985,895841,892389,895388,892697,891720
"05000US09005","Litchfield County",CT,186924,184993,183603,182571,182177,181111,180333
"05000US09007","Middlesex County",CT,165562,164943,164063,163329,163410,162682,162436
"05000US09009","New Haven County",CT,862287,861277,859470,856875,860435,857620,854757
"05000US09011","New London County",CT,274150,273676,271863,269801,269033,266784,265206
"05000US09013","Tolland County",CT,151377,151367,151420,151118,151461,150921,150721
"05000US09015","Windham County",CT,117604,116998,116573,116192,116359,117027,116782
"05000US10001","Kent County",DE,169416,171987,173533,174827,176824,178550,180786
"05000US10003","New Castle County",DE,549684,552778,556779,556987,559793,559335,558753
"05000US10005","Sussex County",DE,206649,210849,215622,220251,225322,229286,234225
"05000US11001","District of Columbia",DC,646449,658893,672228,681170,693972,702455,705749
"05000US12001","Alachua County",FL,253451,256380,259964,263496,266944,269956,269043
"05000US12005","Bay County",FL,174987,178985,181635,183974,183563,185287,174705
"05000US12009","Brevard County",FL,550823,556885,568088,579130,589162,596849,601942
"05000US12011","Broward County",FL,1838844,1869235,1896425,1909632,1935878,1951260,1952778
"05000US12015","Charlotte County",FL,164736,168474,173115,178465,182033,184998,188910
